iter	Passed	Remaining
428	1695	2256
429	1700	2254
430	1716	2265
431	1733	2278
432	1738	2275
433	1741	2271
434	1748	2271
435	1753	2267
436	1757	2264
437	1762	2261
438	1765	2256
439	1769	2251
440	1782	2259
441	1785	2254
442	1790	2251
443	1792	2245
444	1796	2240
445	1798	2234
446	1801	2228
447	1806	2225
448	1809	2220
449	1812	2214
450	1814	2209
451	1817	2203
452	1822	2200
453	1824	2193
454	1826	2187
455	1828	2181
456	1830	2174
457	1832	2168
458	1836	2164
459	1839	2159
460	1842	2153
461	1844	2147
462	1846	2141
463	1850	2137
464	1853	2132
465	1855	2126
466	1856	2119
467	1872	2128
468	1877	2125
469	1881	2121
470	1886	2118
471	1889	2113
472	1891	2107
473	1893	2101
474	1897	2097
475	1900	2091
476	1902	2086
477	1904	2080
478	1907	2074
479	1909	2068
480	1914	2065
481	1917	2060
482	1919	2054
483	1922	2049
484	1924	2043
485	1927	2038
486	1930	2033
487	1932	2027
488	1935	2022
489	1938	2017
490	1943	2014
491	1948	2012
492	1953	2008
493	1958	2005
494	1959	1999
495	1962	1994
496	1969	1993
497	1972	1988
498	1977	1985
499	1989	1989
500	1992	1985
501	1996	1980
502	1998	1974
503	2000	1968
504	2005	1965
505	2010	1962
506	2014	1959
507	2016	1953
508	2018	1947
509	2021	1942
510	2024	1937
511	2028	1933
512	2031	1928
513	2034	1923
514	2036	1918
515	2042	1915
516	2046	1912
517	2048	1906
518	2052	1901
519	2054	1896
520	2056	1890
521	2059	1885
522	2063	1882
523	2067	1878
524	2070	1873
525	2073	1868
526	2077	1864
527	2085	1864
528	2101	1871
529	2103	1865
530	2107	1861
531	2110	1856
532	2114	1852
533	2116	1847
534	2119	1841
535	2122	1837
536	2124	1832
537	2126	1826
538	2129	1821
539	2133	1817
540	2136	1812
541	2138	1807
542	2142	1802
543	2144	1797
544	2146	1792
545	2149	1787
546	2153	1783
547	2156	1778
548	2158	1773
549	2161	1768
550	2164	1763
551	2168	1760
552	2172	1755
553	2175	1751
554	2178	1746
555	2182	1742
556	2185	1737
557	2187	1732
558	2190	1727
559	2192	1722
560	2194	1717
561	2196	1711
562	2199	1706
563	2202	1702
564	2203	1696
565	2205	1691
566	2210	1687
567	2213	1683
568	2216	1679
569	2219	1674
570	2221	1669
571	2224	1664
572	2235	1665
573	2238	1661
574	2241	1656
575	2243	1651
576	2247	1647
577	2249	1642
578	2252	1637
579	2255	1633
580	2257	1627
581	2259	1623
582	2263	1619
583	2267	1615
584	2270	1610
585	2273	1606
586	2275	1601
587	2279	1597
588	2283	1593
589	2285	1588
590	2287	1583
591	2291	1578
592	2294	1574
593	2296	1569
594	2298	1564
595	2300	1559
596	2303	1554
597	2306	1550
598	2309	1545
599	2314	1542
600	2316	1537
601	2318	1532
602	2328	1532
603	2330	1527
604	2333	1523
605	2357	1533
606	2360	1528
607	2362	1523
608	2364	1518
609	2366	1513
610	2368	1508
611	2371	1503
612	2373	1498
613	2375	1493
614	2377	1488
615	2379	1483
616	2381	1478
617	2383	1473
618	2386	1468
619	2387	1463
620	2390	1458
621	2393	1454
622	2397	1451
623	2399	1446
624	2402	1441
625	2404	1436
626	2406	1431
627	2409	1427
628	2412	1422
629	2414	1418
630	2417	1413
631	2418	1408
632	2420	1403
633	2422	1398
634	2451	1409
635	2454	1404
636	2458	1401
637	2461	1396
638	2463	1391
639	2466	1387
640	2468	1382
641	2470	1377
642	2475	1374
643	2478	1370
644	2481	1365
645	2483	1360
646	2486	1356
647	2489	1352
648	2492	1348
649	2495	1343
650	2497	1339
651	2500	1334
652	2504	1330
653	2507	1326
654	2509	1321
655	2512	1317
656	2514	1312
657	2516	1308
658	2519	1303
659	2522	1299
660	2524	1294
661	2527	1290
662	2529	1285
663	2531	1281
664	2534	1276
665	2536	1272
666	2538	1267
667	2541	1262
668	2543	1258
669	2545	1253
670	2547	1249
671	2549	1244
672	2551	1239
673	2554	1235
674	2557	1231
675	2560	1227
676	2562	1222
677	2565	1218
678	2568	1214
679	2571	1210
680	2573	1205
681	2576	1201
682	2578	1196
683	2581	1192
684	2584	1188
685	2585	1183
686	2587	1178
687	2590	1174
688	2592	1169
689	2594	1165
690	2598	1162
691	2601	1158
692	2603	1153
693	2604	1148
694	2606	1143
695	2610	1140
696	2614	1136
697	2617	1132
698	2618	1127
699	2619	1122
700	2620	1117
701	2622	1113
702	2623	1108
703	2624	1103
704	2626	1098
705	2630	1095
706	2632	1090
707	2633	1086
708	2635	1081
709	2641	1078
710	2643	1074
711	2644	1069
712	2648	1065
713	2650	1061
714	2651	1056
715	2653	1052
716	2655	1048
717	2657	1043
718	2658	1039
719	2662	1035
720	2665	1031
721	2667	1027
722	2673	1024
723	2675	1019
724	2678	1015
725	2680	1011
726	2683	1007
727	2686	1003
728	2689	999
729	2691	995
730	2693	991
731	2695	986
732	2698	983
733	2701	979
734	2705	975
735	2708	971
736	2710	967
737	2712	962
738	2714	958
739	2717	954
740	2719	950
741	2721	946
742	2723	942
743	2724	937
744	2727	933
745	2728	929
746	2732	925
747	2744	924
748	2749	921
749	2752	917
750	2756	913
751	2757	909
752	2759	905
753	2761	900
754	2763	896
755	2765	892
756	2767	888
757	2768	883
758	2770	879
759	2772	875
760	2774	871
761	2775	866
762	2780	863
763	2783	859
764	2788	856
765	2791	852
766	2795	849
767	2798	845
768	2802	841
769	2803	837
770	2805	833
771	2806	828
772	2814	826
773	2817	822
774	2819	818
775	2824	815
776	2846	817
777	2849	813
778	2851	809
779	2856	805
780	2858	801
781	2860	797
782	2866	794
783	2869	790
784	2872	786
785	2874	782
786	2876	778
787	2879	774
788	2881	770
789	2883	766
790	2887	762
791	2889	758
792	2890	754
793	2891	750
794	2893	746
795	2894	741
796	2896	737
797	2897	733
798	2899	729
799	2900	725
800	2902	721
801	2905	717
802	2906	713
803	2907	708
804	2909	704
805	2910	700
806	2911	696
807	2913	692
808	2915	688
809	2916	684
810	2918	680
811	2919	675
812	2920	671
813	2922	667
814	2923	663
815	2925	659
816	2926	655
817	2927	651
818	2928	647
819	2930	643
820	2931	639
821	2932	635
822	2934	631
823	2937	627
824	2939	623
825	2940	619
826	2942	615
827	2944	611
828	2946	607
829	2947	603
830	2948	599
831	2949	595
832	2951	591
833	2952	587
834	2954	583
835	2955	579
836	2956	575
837	2958	571
838	2960	568
839	2962	564
840	2963	560
841	2965	556
842	2966	552
843	2967	548
844	2968	544
845	2969	540
846	2971	536
847	2972	532
848	2974	529
849	2976	525
850	2977	521
851	2978	517
852	2979	513
853	2980	509
854	2981	505
855	2982	501
856	2983	497
857	2984	494
858	2985	490
859	2987	486
860	2988	482
861	2989	478
862	2991	474
863	2992	471
864	2993	467
865	2995	463
866	2996	459
867	2997	455
868	2998	452
869	2999	448
870	3001	444
871	3002	440
872	3003	436
873	3004	433
874	3005	429
875	3007	425
876	3008	421
877	3009	418
878	3011	414
879	3014	411
880	3015	407
881	3017	403
882	3018	399
883	3020	396
884	3022	392
885	3023	389
886	3024	385
887	3025	381
888	3026	377
889	3027	374
890	3029	370
891	3030	366
892	3031	363
893	3032	359
894	3034	355
895	3036	352
896	3037	348
897	3038	345
898	3039	341
899	3040	337
900	3041	334
901	3042	330
902	3043	326
903	3044	323
904	3045	319
905	3046	316
906	3047	312
907	3049	308
908	3050	305
909	3051	301
910	3052	298
911	3053	294
912	3054	291
913	3055	287
914	3056	283
915	3057	280
916	3058	276
917	3059	273
918	3060	269
919	3061	266
920	3062	262
921	3065	259
922	3066	255
923	3067	252
924	3068	248
925	3069	245
926	3070	241
927	3071	238
928	3072	234
929	3073	231
930	3074	227
931	3075	224
932	3079	221
933	3081	217
934	3083	214
935	3084	210
936	3086	207
937	3088	204
938	3089	200
939	3091	197
940	3094	194
941	3097	190
942	3099	187
943	3101	183
944	3102	180
945	3103	177
946	3104	173
947	3106	170
948	3107	167
949	3109	163
950	3111	160
951	3113	156
952	3114	153
953	3116	150
954	3118	146
955	3119	143
956	3121	140
957	3122	136
958	3124	133
959	3126	130
960	3128	126
961	3129	123
962	3130	120
963	3131	116
964	3132	113
965	3134	110
966	3135	107
967	3136	103
968	3138	100
969	3140	97
970	3141	93
971	3143	90
972	3144	87
973	3146	83
974	3147	80
975	3148	77
976	3149	74
977	3151	70
978	3152	67
979	3154	64
980	3155	61
981	3157	57
982	3159	54
983	3160	51
984	3161	48
985	3162	44
986	3164	41
987	3165	38
988	3166	35
989	3168	32
990	3169	28
991	3170	25
992	3172	22
993	3173	19
994	3174	15
995	3175	12
996	3176	9
997	3177	6
998	3178	3
999	3179	0
